date,close,dayRange,openCloseRange,emaDiffPercentage,lowFastEmaPercentage,highFastEmaPercentage,emaAppreciation,netPriceAppreciation
2021/8/13,14822.9,0.36,-0.01,0.48,0.06,0.42,0.05,0
2021/8/23,14942.65,1.26,1.12,0.19,0.25,1.52,0.28,
2021/8/24,15019.8,0.46,0.28,0.32,1.21,1.68,0.32,
2021/8/25,15041.86,0.32,0.02,0.43,1.23,1.55,0.29,
2021/8/26,14945.81,0.80,-0.53,0.45,0.61,1.42,0.13,
2021/8/27,15129.5,1.19,1.07,0.56,0.48,1.67,0.32,
2021/8/30,15265.89,0.81,0.66,0.71,1.39,2.21,0.41,
2021/8/31,15259.24,0.50,-0.02,0.81,1.30,1.81,0.34,
2021/9/1,15309.38,0.51,0.00,0.89,1.62,2.14,0.34,
2021/9/2,15331.18,0.62,-0.18,0.96,1.21,1.83,0.30,
2021/9/3,15363.52,0.60,0.33,1.01,0.90,1.51,0.29,
2021/9/7,15374.33,0.39,-0.01,1.04,1.04,1.44,0.25,
2021/9/8,15286.64,1.01,-0.48,1.00,0.03,1.04,0.11,
2021/9/9,15248.25,0.70,-0.31,0.94,0.24,0.94,0.05,2.04500
2020/11/24,12036.79,1.57,0.82,1.08,0.26,1.83,,
2020/11/25,12094.4,0.78,0.34,1.16,1.22,2.01,0.37,
2020/11/27,12205.85,0.67,0.38,1.27,1.87,2.55,0.46,
2020/11/30,12198.74,1.81,-0.21,1.33,0.43,2.24,0.37,
2020/12/1,12355.11,1.16,0.34,1.46,1.87,3.05,0.53,
2020/12/2,12349.37,1.17,0.52,1.53,1.05,2.23,0.43,
2020/12/3,12377.18,0.66,0.06,1.58,1.80,2.48,0.39,
2020/12/4,12464.23,0.71,0.52,1.65,1.51,2.23,0.45,
2020/12/7,12519.95,0.61,0.47,1.72,1.74,2.36,0.45,
2020/12/8,12582.77,1.13,0.64,1.78,1.22,2.37,0.46,4.53600
2020/12/14,12440.04,0.89,-0.06,1.40,0.66,1.55,0.14,
2020/12/15,12595.06,1.05,0.41,1.43,0.59,1.64,0.33,
2020/12/16,12658.19,0.96,0.37,1.47,1.04,2.02,0.36,
2020/12/17,12764.75,0.54,0.27,1.55,1.64,2.19,0.44,
2020/12/18,12755.64,1.22,-0.38,1.57,0.95,2.19,0.35,
2020/12/21,12742.52,1.80,1.16,1.57,-0.36,1.44,0.28,
2020/12/22,12807.92,1.14,0.18,1.58,0.68,1.83,0.32,
2020/12/23,12771.11,0.65,-0.50,1.54,0.97,1.63,0.21,
2020/12/24,12804.73,0.52,0.10,1.51,0.81,1.33,0.22,
2020/12/28,12899.42,0.81,-0.12,1.52,0.97,1.79,0.31,
2020/12/29,12850.22,1.18,-0.89,1.48,0.74,1.93,0.19,
2020/12/30,12870,0.52,-0.28,1.43,0.83,1.36,0.19,
2020/12/31,12888.28,0.63,0.09,1.39,0.37,1.00,0.18,3.60300
2021/1/7,13067.48,1.74,1.56,1.13,0.40,2.14,0.39,
2021/1/8,13201.98,1.32,0.32,1.26,1.21,2.54,0.50,
2021/1/11,13036.43,1.07,-0.09,1.25,0.72,1.79,0.20,
2021/1/12,13072.43,1.09,0.08,1.24,0.23,1.32,0.21,
2021/1/13,13128.95,0.92,0.31,1.25,0.65,1.58,0.25,
2021/1/14,13112.64,0.93,-0.47,1.23,0.83,1.76,0.19,
2021/1/15,12998.5,1.47,-0.77,1.12,-0.33,1.14,0.01,
2021/1/19,13197.18,0.98,0.49,1.15,0.40,1.39,0.26,
2021/1/20,13457.25,1.17,0.86,1.31,1.77,2.96,0.55,
2021/1/21,13530.91,0.79,0.07,1.45,2.15,2.96,0.55,
2021/1/22,13543.06,0.77,0.51,1.54,1.75,2.53,0.47,
2021/1/25,13635.99,2.70,-0.33,1.64,0.52,3.23,0.51,
2021/1/26,13626.06,0.73,-0.41,1.69,1.87,2.61,0.41,4.27500
2021/3/11,13398.67,1.41,0.94,-0.94,0.58,2.01,0.35,
2021/3/12,13319.86,1.26,0.73,-0.77,-0.27,0.99,0.19,
2021/3/15,13459.71,1.42,1.02,-0.54,0.25,1.67,0.33,
2021/3/16,13471.57,1.67,-0.38,-0.35,0.90,2.58,0.29,0.544100
2021/7/22,14684.6,0.52,0.22,0.60,0.43,0.95,0.18,
2021/7/23,14836.99,1.00,0.57,0.70,0.66,1.67,0.32,
2021/7/26,14840.71,0.49,0.13,0.76,1.01,1.51,0.27,
2021/7/27,14660.58,2.12,-1.00,0.71,-0.96,1.13,0.02,
2021/7/28,14762.58,1.05,0.32,0.71,-0.13,0.92,0.13,
2021/7/29,14778.26,0.49,0.05,0.71,0.53,1.02,0.13,0.637800
2021/4/26,14138.78,0.96,0.61,1.06,0.77,1.74,0.33,
2021/4/27,14090.22,0.76,-0.57,1.07,0.88,1.65,0.21,
2021/4/28,14051.03,0.71,-0.23,1.04,0.54,1.25,0.13,-0.620600
2021/5/21,13470.99,1.14,-1.07,-0.65,0.15,1.29,0.04,
2021/5/24,13661.17,1.16,0.77,-0.47,0.53,1.70,0.27,
2021/5/25,13657.17,0.88,-0.47,-0.32,0.91,1.79,0.22,
2021/5/26,13738,0.52,0.32,-0.16,0.98,1.50,0.28,
2021/5/27,13736.28,0.55,-0.05,-0.03,0.91,1.46,0.23,
2021/5/28,13748.74,0.53,-0.31,0.07,1.03,1.57,0.21,
2021/6/1,13736.48,1.15,-0.67,0.14,0.37,1.52,0.16,
2021/6/2,13756.33,0.63,0.10,0.20,0.29,0.92,0.16,
2021/6/3,13614.51,1.00,-0.30,0.17,-0.70,0.29,-0.04,
2021/6/4,13814.49,0.98,0.86,0.25,0.14,1.13,0.21,
2021/6/7,13881.72,0.76,0.57,0.35,0.57,1.33,0.26,
2021/6/8,13924.91,1.08,-0.15,0.44,0.64,1.73,0.26,
2021/6/9,13911.75,0.70,-0.49,0.50,0.98,1.68,0.20,
2021/6/10,14020.33,0.91,0.62,0.60,0.66,1.58,0.30,
2021/6/11,14069.42,0.45,0.27,0.69,1.09,1.54,0.31,
2021/6/14,14174.14,0.85,0.64,0.81,1.06,1.92,0.38,
2021/6/15,14072.86,0.85,-0.66,0.84,0.83,1.69,0.20,
2021/6/16,14039.68,1.63,-0.33,0.82,-0.36,1.26,0.12,
2021/6/17,14161.35,1.41,1.16,0.87,0.08,1.49,0.25,
2021/6/18,14030.38,0.86,-0.47,0.81,0.10,0.96,0.05,
2021/6/21,14141.48,1.37,0.67,0.83,-0.42,0.94,0.17,
2021/6/22,14253.27,1.05,0.81,0.88,0.44,1.50,0.28,
2021/6/23,14271.73,0.50,0.06,0.93,1.08,1.59,0.25,
2021/6/24,14369.71,0.56,0.09,1.00,1.37,1.94,0.33,
2021/6/25,14360.39,0.50,-0.28,1.03,1.14,1.64,0.26,
2021/6/28,14500.51,0.61,0.57,1.12,1.31,1.93,0.38,
2021/6/29,14528.33,0.45,0.13,1.19,1.34,1.79,0.35,
2021/6/30,14503.95,0.34,-0.04,1.20,1.12,1.46,0.26,
2021/7/1,14522.38,0.65,0.20,1.21,0.61,1.27,0.24,
2021/7/2,14639.33,0.64,0.39,1.26,1.08,1.73,0.33,
2021/7/6,14663.64,1.08,0.01,1.29,0.60,1.68,0.31,
2021/7/7,14665.06,1.20,-0.60,1.30,0.69,1.90,0.26,
2021/7/8,14559.78,1.66,1.05,1.23,-0.84,0.80,0.09,
2021/7/9,14701.92,1.09,0.85,1.23,0.16,1.25,0.24,
2021/7/12,14733.24,0.60,-0.07,1.24,0.76,1.36,0.23,
2021/7/13,14677.65,0.98,-0.25,1.19,0.54,1.52,0.13,
2021/7/14,14644.95,1.08,-0.92,1.12,0.28,1.36,0.07,8.71500
2021/2/2,13612.78,0.86,0.51,1.14,1.29,2.17,0.38,
2021/2/3,13610.54,1.02,-0.79,1.18,1.35,2.38,0.31,
2021/2/4,13777.74,1.08,0.76,1.30,1.23,2.32,0.46,
2021/2/5,13856.3,0.85,0.23,1.41,1.70,2.56,0.48,
2021/2/8,13987.64,0.67,0.36,1.55,2.11,2.79,0.56,
2021/2/9,14007.7,0.56,0.29,1.64,2.14,2.71,0.49,
2021/2/10,13972.53,1.90,-0.86,1.66,0.89,2.81,0.36,
2021/2/11,14025.77,1.02,-0.14,1.69,1.04,2.07,0.37,
2021/2/12,14095.47,1.18,0.83,1.72,0.80,1.98,0.39,
2021/2/16,14047.5,1.28,-0.74,1.69,0.95,2.24,0.26,3.19300
2021/8/4,14780.53,0.53,0.23,0.57,0.17,0.70,0.10,
2021/8/5,14895.12,0.82,0.68,0.62,0.24,1.06,0.21,
2021/8/6,14835.76,0.69,-0.19,0.62,0.22,0.91,0.11,
2021/8/9,14860.18,0.55,0.03,0.62,0.20,0.75,0.12,0.538900
2021/4/1,13480.11,0.62,0.49,-0.20,1.46,2.09,0.41,
2021/4/5,13705.59,1.01,0.81,0.11,2.18,3.21,0.62,
2021/4/6,13698.38,0.75,0.12,0.34,2.35,3.11,0.51,
2021/4/7,13688.84,0.58,0.10,0.51,1.77,2.37,0.41,
2021/4/8,13829.31,0.52,0.23,0.70,2.03,2.56,0.51,
2021/4/9,13900.19,1.14,0.82,0.88,1.44,2.59,0.51,
2021/4/12,13850,0.68,-0.03,0.98,1.33,2.01,0.36,
