date,close,dayRange,openCloseRange,emaDiffPercentage,lowFastEmaPercentage,highFastEmaPercentage,emaAppreciation,netPriceAppreciation
2018/9/13,8013.71,0.60,0.17,0.35,0.19,0.79,0.10,0
2018/8/3,7812.01,0.52,-0.09,0.23,0.17,0.69,0.11,
2018/8/6,7859.68,0.74,0.64,0.31,0.21,0.96,0.19,
2018/8/7,7883.66,0.38,0.06,0.38,0.86,1.24,0.21,
2018/8/8,7888.33,0.47,0.11,0.43,0.62,1.09,0.19,
2018/8/9,7891.78,0.54,0.07,0.47,0.67,1.21,0.16,1.02100
2018/11/7,7570.75,1.84,1.67,-0.90,0.76,2.61,0.52,
2018/11/8,7530.88,0.90,-0.18,-0.66,1.28,2.18,0.34,-0.526600
2018/8/21,7859.17,0.78,0.24,0.23,0.12,0.90,0.08,
2018/8/22,7889.10,0.72,0.57,0.27,0.04,0.76,0.13,
2018/8/23,7878.46,0.76,-0.10,0.29,0.28,1.04,0.09,
2018/8/24,7945.98,0.54,0.48,0.37,0.58,1.12,0.22,
2018/8/27,8017.90,0.61,0.35,0.49,1.13,1.74,0.33,
2018/8/28,8030.04,0.46,-0.11,0.59,1.24,1.71,0.30,
2018/8/29,8109.69,0.89,0.81,0.74,1.23,2.13,0.42,
2018/8/30,8088.36,0.79,-0.07,0.81,1.27,2.07,0.30,
2018/8/31,8109.54,0.50,0.37,0.88,1.09,1.60,0.30,
2018/9/4,8091.25,0.77,0.04,0.90,0.42,1.19,0.21,2.95300
2018/7/9,7756.20,0.72,0.32,0.26,1.10,1.82,0.36,
2018/7/10,7759.20,0.59,-0.15,0.38,1.18,1.77,0.31,
2018/7/11,7716.61,0.67,0.24,0.43,0.55,1.23,0.16,
2018/7/12,7823.92,1.02,0.92,0.56,0.84,1.86,0.37,
2018/7/13,7825.98,0.51,-0.02,0.66,1.26,1.78,0.31,
2018/7/16,7805.72,0.60,-0.33,0.70,0.89,1.50,0.21,
2018/7/17,7855.12,1.52,1.33,0.78,0.06,1.58,0.29,
2018/7/18,7854.44,0.52,-0.06,0.82,0.77,1.29,0.24,
2018/7/19,7825.30,0.50,-0.06,0.81,0.48,0.98,0.13,
2018/7/20,7820.20,0.57,-0.29,0.79,0.44,1.01,0.10,
2018/7/23,7841.87,0.90,0.45,0.78,-0.19,0.71,0.13,
2018/7/24,7840.77,1.46,-0.93,0.76,0.19,1.66,0.11,
2018/7/25,7932.24,1.21,1.19,0.83,0.22,1.43,0.28,
2018/7/26,7852.18,0.60,0.05,0.79,0.09,0.70,0.06,1.23700
2018/5/7,7265.21,0.77,0.32,0.11,1.26,2.04,0.34,
2018/5/8,7266.90,0.75,0.16,0.23,0.82,1.57,0.28,
2018/5/9,7339.91,1.18,0.80,0.40,0.89,2.08,0.40,
2018/5/10,7404.97,0.82,0.67,0.60,1.71,2.55,0.49,
2018/5/11,7402.88,0.62,0.12,0.73,1.56,2.19,0.40,
2018/5/14,7411.32,0.76,-0.24,0.83,1.62,2.39,0.35,
2018/5/15,7351.63,0.58,-0.13,0.83,0.35,0.93,0.15,
2018/5/16,7398.30,0.78,0.57,0.87,0.60,1.38,0.23,
2018/5/17,7382.47,1.02,0.04,0.87,0.36,1.38,0.16,
2018/5/18,7354.34,0.51,-0.14,0.83,0.20,0.71,0.07,
2018/5/21,7394.04,0.86,-0.17,0.82,0.38,1.25,0.15,
2018/5/22,7378.46,0.84,-0.57,0.79,0.32,1.17,0.09,
2018/5/23,7425.96,1.26,1.24,0.81,-0.34,0.91,0.18,
2018/5/24,7424.43,1.06,0.03,0.81,-0.18,0.88,0.15,
2018/5/25,7433.85,0.50,0.16,0.81,0.47,0.97,0.14,
2018/5/29,7396.59,1.10,-0.03,0.75,-0.40,0.70,0.04,
2018/5/30,7462.45,0.68,0.46,0.77,0.36,1.04,0.18,
2018/5/31,7442.12,0.82,-0.18,0.75,0.37,1.19,0.10,
2018/6/1,7554.33,0.94,0.89,0.84,0.78,1.72,0.34,
2018/6/4,7606.46,0.61,0.48,0.96,1.37,1.99,0.40,
2018/6/5,7637.86,0.55,0.22,1.06,1.52,2.08,0.40,
2018/6/6,7689.24,0.91,0.48,1.18,1.33,2.25,0.45,
2018/6/7,7635.07,1.31,-0.81,1.19,0.75,2.07,0.25,
2018/6/8,7645.51,0.77,0.50,1.20,0.49,1.26,0.23,
2018/6/11,7659.93,0.45,0.17,1.20,0.89,1.35,0.22,
2018/6/12,7703.79,0.50,0.39,1.22,0.96,1.47,0.28,
2018/6/13,7695.70,0.81,-0.24,1.22,0.96,1.78,0.22,
2018/6/14,7761.04,0.58,0.49,1.26,1.12,1.71,0.32,
2018/6/15,7746.38,0.67,0.28,1.26,0.63,1.30,0.24,
2018/6/18,7747.03,0.94,0.70,1.25,0.07,1.02,0.20,
2018/6/19,7725.59,1.20,0.88,1.19,-0.58,0.61,0.12,
2018/6/20,7781.51,0.66,0.22,1.19,0.76,1.42,0.22,7.10600
2017/11/27,6878.52,0.43,-0.17,0.79,0.74,1.17,,
2017/11/28,6912.36,0.70,0.27,0.83,0.48,1.18,0.23,0.492000
2018/9/27,8041.97,0.67,0.26,0.26,0.30,0.97,0.12,
2018/9/28,8046.35,0.61,0.27,0.29,0.16,0.78,0.11,
2018/10/1,8037.30,1.09,-0.67,0.29,0.14,1.23,0.07,
2018/10/2,7999.55,0.88,-0.31,0.26,-0.29,0.59,-0.02,
2018/10/3,8025.09,0.52,-0.12,0.26,0.02,0.55,0.04,-0.209900
2018/3/6,7372.01,0.80,0.07,0.48,0.57,1.37,0.26,
2018/3/7,7396.65,1.26,1.16,0.57,0.19,1.45,0.27,
2018/3/8,7427.95,0.59,0.07,0.66,0.98,1.58,0.30,
2018/3/9,7560.81,1.23,1.13,0.86,1.48,2.73,0.55,
2018/3/12,7588.32,0.60,0.10,1.03,2.24,2.86,0.52,
2018/3/13,7511.01,1.93,-1.53,1.06,1.03,2.97,0.25,
2018/3/14,7496.81,0.95,-0.57,1.05,0.59,1.55,0.18,
2018/3/15,7481.74,0.83,-0.37,1.01,0.33,1.17,0.12,
2018/3/16,7481.99,0.54,-0.30,0.97,0.37,0.92,0.10,1.49200
2018/9/20,8028.23,0.66,0.43,0.23,0.17,0.83,0.14,
2018/9/21,7986.96,0.97,-0.68,0.22,0.05,1.03,0.03,-0.514100
2018/4/11,7069.03,1.04,0.20,-0.95,0.07,1.11,0.05,
2018/4/12,7140.25,0.86,0.40,-0.77,0.56,1.42,0.21,
2018/4/13,7106.65,1.49,-1.02,-0.65,0.08,1.57,0.10,
2018/4/16,7156.28,0.88,0.03,-0.50,0.42,1.30,0.20,
2018/4/17,7281.10,1.28,0.91,-0.24,1.23,2.53,0.46,
2018/4/18,7295.24,0.82,0.04,-0.02,1.56,2.40,0.41,
2018/4/19,7238.06,0.86,-0.28,0.08,0.73,1.60,0.21,2.39100
2017/12/8,6840.08,0.57,-0.29,0.31,0.22,0.79,0.07,
2017/12/11,6875.08,0.51,0.40,0.35,0.27,0.79,0.14,
2017/12/12,6862.32,0.42,-0.15,0.36,0.35,0.77,0.09,
2017/12/13,6875.80,0.37,-0.07,0.38,0.47,0.85,0.11,
2017/12/14,6856.53,0.72,-0.45,0.37,0.14,0.86,0.04,
2017/12/15,6936.58,1.08,0.95,0.45,0.20,1.28,0.23,
2017/12/18,6994.76,0.41,0.21,0.56,1.38,1.79,0.33,
2017/12/19,6963.85,0.64,-0.39,0.61,0.82,1.47,0.20,
2017/12/20,6960.96,0.80,-0.43,0.63,0.43,1.24,0.16,
2017/12/21,6965.36,0.45,-0.11,0.65,0.66,1.11,0.14,
2017/12/22,6959.96,0.26,0.03,0.64,0.31,0.57,0.11,
2017/12/26,6936.25,0.38,0.11,0.60,-0.14,0.24,0.03,
2017/12/27,6939.34,0.35,-0.03,0.56,0.05,0.40,0.03,
2017/12/28,6950.16,0.26,-0.05,0.54,0.08,0.34,0.05,
2017/12/29,6903.39,0.75,-0.71,0.46,-0.34,0.41,-0.07,
2018/1/2,7006.90,1.20,1.00,0.51,-0.23,0.96,0.19,
2018/1/3,7065.53,0.75,0.69,0.61,0.80,1.55,0.30,
2018/1/4,7077.91,0.36,-0.16,0.69,1.32,1.68,0.28,
2018/1/5,7136.56,0.56,0.43,0.80,1.29,1.86,0.37,
2018/1/8,7157.39,0.52,0.31,0.90,1.31,1.84,0.36,
2018/1/9,7163.58,0.46,-0.15,0.97,1.34,1.81,0.31,
2018/1/10,7153.57,0.60,0.33,1.00,0.58,1.19,0.24,
2018/1/11,7211.78,0.68,0.60,1.07,0.98,1.66,0.33,
2018/1/12,7261.06,0.83,0.73,1.16,1.17,2.02,0.39,
2018/1/16,7223.69,1.73,-1.14,1.17,0.94,2.68,0.24,
2018/1/17,7298.28,1.11,0.56,1.24,0.89,2.01,0.37,
2018/1/18,7296.05,0.52,0.03,1.27,1.24,1.76,0.30,
2018/1/19,7336.38,0.54,0.33,1.32,1.18,1.72,0.35,
2018/1/22,7408.03,1.03,0.95,1.42,1.22,2.26,0.45,
2018/1/23,7460.29,0.57,0.48,1.53,1.96,2.54,0.50,
2018/1/24,7415.06,1.49,-0.79,1.54,1.01,2.51,0.31,
2018/1/25,7411.16,0.95,-0.63,1.52,0.92,1.88,0.25,
2018/1/26,7505.77,1.00,0.77,1.58,1.08,2.09,0.42,
2018/1/29,7466.51,0.60,-0.24,1.56,1.15,1.76,0.26,9.15800
2018/2/15,7256.43,1.77,0.77,-0.45,0.23,2.01,0.40,
2018/2/16,7239.47,1.06,0.04,-0.27,1.28,2.36,0.29,
2018/2/20,7234.31,1.25,0.35,-0.14,0.76,2.02,0.23,
2018/2/21,7218.23,1.67,-0.55,-0.05,0.77,2.46,0.16,
2018/2/22,7210.09,1.20,-0.58,0.01,0.34,1.54,0.11,
2018/2/23,7337.39,1.46,1.05,0.19,0.47,1.94,0.39,
2018/2/26,7421.46,0.84,0.65,0.42,1.72,2.57,0.52,
2018/2/27,7330.35,1.47,-1.16,0.49,1.09,2.58,0.22,
2018/2/28,7273.01,1.56,-1.33,0.47,0.25,1.82,0.05,0.228500
