date,close,dayRange,openCloseRange,emaDiffPercentage,lowFastEmaPercentage,highFastEmaPercentage,emaAppreciation,netPriceAppreciation
2019/5/3,8164,0.99,0.88,0.90,0.08,1.07,0.21,0
2019/8/20,7948.56,0.79,-0.51,-0.62,0.14,0.92,0.03,
2019/8/21,8020.21,0.48,0.04,-0.48,0.60,1.08,0.17,0.901400
2019/10/11,8057.04,0.86,0.12,-0.30,1.10,1.97,0.25,
2019/10/14,8048.65,0.42,0.05,-0.18,0.78,1.20,0.19,
2019/10/15,8148.71,1.17,0.91,0.01,0.86,2.03,0.36,
2019/10/16,8124.18,0.53,0.05,0.13,1.00,1.53,0.25,
2019/10/17,8156.85,0.64,-0.25,0.25,1.06,1.71,0.28,
2019/10/18,8089.54,1.39,-0.74,0.27,-0.09,1.30,0.09,
2019/10/21,8162.99,0.58,0.31,0.35,0.57,1.15,0.23,
2019/10/22,8104.3,1.14,-1.02,0.36,0.31,1.46,0.07,
2019/10/23,8119.79,0.55,0.37,0.37,-0.07,0.48,0.09,
2019/10/24,8185.8,0.62,0.07,0.43,0.45,1.07,0.21,
2019/10/25,8243.12,1.22,1.14,0.54,0.32,1.54,0.29,
2019/10/28,8325.99,0.61,0.49,0.68,1.56,2.17,0.41,
2019/10/29,8276.85,0.53,-0.44,0.74,1.19,1.73,0.24,
2019/10/30,8303.98,0.90,0.24,0.79,0.52,1.42,0.26,
2019/10/31,8292.36,0.88,-0.26,0.81,0.42,1.31,0.19,
2019/11/1,8386.4,0.72,0.62,0.91,1.01,1.74,0.35,
2019/11/4,8433.2,0.36,-0.15,1.01,1.77,2.13,0.38,
2019/11/5,8434.68,0.43,-0.14,1.07,1.44,1.88,0.32,
2019/11/6,8410.63,0.56,-0.19,1.08,0.72,1.28,0.22,
2019/11/7,8434.52,0.80,-0.24,1.09,0.92,1.73,0.23,
2019/11/8,8475.31,0.83,0.62,1.13,0.53,1.36,0.27,
2019/11/11,8464.28,0.50,0.39,1.12,0.56,1.06,0.20,
2019/11/12,8486.09,0.61,0.18,1.13,0.79,1.41,0.21,
2019/11/13,8482.1,0.54,0.32,1.11,0.48,1.02,0.17,
2019/11/14,8479.02,0.52,0.21,1.07,0.23,0.75,0.14,
2019/11/15,8540.83,0.40,0.19,1.09,0.77,1.17,0.23,
2019/11/18,8549.94,0.66,0.24,1.10,0.52,1.18,0.21,
2019/11/19,8570.66,0.62,-0.09,1.10,0.69,1.31,0.22,6.37500
2019/8/29,7973.39,0.84,0.35,-0.48,0.27,1.11,0.17,
2019/8/30,7962.88,1.30,-0.65,-0.38,0.00,1.31,0.12,
2019/9/3,7874.16,1.19,-0.41,-0.39,-0.76,0.41,-0.08,
2019/9/4,7976.88,0.66,0.34,-0.28,0.12,0.79,0.15,
2019/9/5,8116.83,0.91,0.69,-0.06,1.37,2.29,0.42,
2019/9/6,8103.07,0.44,-0.28,0.10,1.52,1.97,0.32,
2019/9/9,8087.44,0.99,-0.53,0.20,0.71,1.70,0.23,
2019/9/10,8084.16,1.06,0.42,0.27,-0.11,0.95,0.18,
2019/9/11,8169.68,1.09,0.96,0.40,0.56,1.65,0.33,
2019/9/12,8194.47,0.82,-0.15,0.52,1.41,2.24,0.33,
2019/9/13,8176.71,0.55,-0.17,0.59,1.03,1.58,0.23,
2019/9/16,8153.54,0.54,0.39,0.61,0.34,0.88,0.15,
2019/9/17,8186.02,0.59,0.46,0.64,0.38,0.97,0.19,
2019/9/18,8177.39,1.16,0.03,0.65,-0.42,0.73,0.14,
2019/9/19,8182.88,0.77,-0.13,0.66,0.53,1.31,0.13,2.62700
2019/3/12,7591.03,0.67,0.25,0.75,0.58,1.26,0.20,
2019/3/13,7643.41,0.76,0.29,0.82,1.08,1.85,0.28,
2019/3/14,7630.91,0.34,-0.18,0.84,0.98,1.32,0.21,
2019/3/15,7688.53,0.82,0.39,0.91,1.01,1.84,0.30,
2019/3/18,7714.48,0.78,0.24,0.97,1.04,1.83,0.31,
2019/3/19,7723.95,0.89,-0.30,1.02,1.04,1.94,0.27,
2019/3/20,7728.97,1.37,0.09,1.04,0.47,1.85,0.24,
2019/3/21,7838.96,1.88,1.73,1.15,0.44,2.33,0.44,3.26600
2019/6/7,7742.1,1.56,1.16,-0.92,0.46,2.02,0.34,
2019/6/10,7823.17,1.28,0.31,-0.62,1.93,3.23,0.46,
2019/6/11,7822.57,1.43,-0.99,-0.38,1.58,3.03,0.38,
2019/6/12,7792.72,0.58,-0.13,-0.23,1.01,1.59,0.25,
2019/6/13,7837.13,0.44,0.19,-0.06,1.21,1.66,0.30,
2019/6/14,7796.66,0.53,-0.13,0.02,0.59,1.12,0.17,
2019/6/17,7845.02,0.68,0.33,0.14,0.79,1.48,0.24,
2019/6/18,7953.88,1.18,0.42,0.33,1.62,2.83,0.44,
2019/6/19,7987.32,0.86,0.21,0.51,1.43,2.30,0.43,
2019/6/20,8051.34,1.15,-0.45,0.70,1.77,2.94,0.50,
2019/6/21,8031.71,0.77,0.04,0.81,1.58,2.36,0.37,
2019/6/24,8005.7,0.54,-0.43,0.86,1.24,1.78,0.25,
2019/6/25,7884.72,1.63,-1.51,0.76,-0.30,1.32,-0.05,
2019/6/26,7909.97,0.90,-0.30,0.70,-0.01,0.89,0.02,
2019/6/27,7967.76,0.52,0.36,0.70,0.26,0.78,0.13,
2019/6/28,8006.24,0.61,0.22,0.73,0.40,1.01,0.19,
2019/7/1,8091.16,1.13,-0.67,0.83,1.29,2.43,0.34,
2019/7/2,8109.09,0.57,0.28,0.91,1.01,1.59,0.32,
2019/7/3,8170.23,0.59,0.50,1.01,1.36,1.96,0.39,
2019/7/5,8161.79,0.97,0.47,1.07,0.69,1.66,0.31,
2019/7/8,8098.38,1.03,-0.18,1.03,0.37,1.41,0.12,
2019/7/9,8141.73,1.06,1.00,1.03,-0.03,1.03,0.19,
2019/7/10,8202.53,0.83,0.24,1.08,0.91,1.75,0.29,
2019/7/11,8196.04,0.67,-0.28,1.09,0.82,1.49,0.22,
2019/7/12,8244.14,0.54,0.43,1.13,0.90,1.44,0.29,
2019/7/15,8258.19,0.35,-0.06,1.15,1.06,1.41,0.27,
2019/7/16,8222.8,0.68,-0.35,1.12,0.52,1.20,0.15,
2019/7/17,8185.21,0.56,-0.47,1.05,0.23,0.79,0.05,5.72300
2018/1/;29,7273.08,1.42,0.08,-0.90,0.80,2.22,0.31,
2018/1/;30,7330.54,1.06,0.70,-0.63,0.93,2.00,0.40,
2018/1/;3,7441.51,1.28,-0.60,-0.29,2.23,3.53,0.59,2.31600
2019/1/7,6823.47,1.69,0.98,-1.40,1.17,2.88,0.48,
2019/1/8,6897,1.67,0.05,-0.99,1.40,3.09,0.58,
2019/1/9,6957.08,1.24,0.49,-0.60,2.29,3.56,0.63,
2019/1/10,6986.07,1.66,1.12,-0.26,1.36,3.04,0.60,
2019/1/11,6971.48,0.61,0.35,-0.02,1.72,2.34,0.46,
2019/1/14,6905.92,0.71,-0.03,0.09,0.83,1.54,0.22,
2019/1/15,7023.83,1.41,1.33,0.31,0.95,2.37,0.47,
2019/1/16,7034.69,0.73,0.01,0.48,1.98,2.73,0.42,
2019/1/17,7084.46,1.58,1.06,0.65,1.15,2.75,0.47,
2019/1/18,7157.23,1.25,0.32,0.86,1.92,3.20,0.56,
2019/1/22,7020.36,1.87,-1.25,0.85,0.11,1.98,0.14,
2019/1/23,7025.77,1.89,-0.51,0.84,-0.40,1.48,0.13,
2019/1/24,7073.46,0.70,0.44,0.87,0.48,1.18,0.22,
2019/1/25,7164.86,0.89,0.51,0.98,1.23,2.13,0.40,
2019/1/28,7085.68,0.74,0.15,0.96,-0.01,0.73,0.14,
2019/1/29,7028.29,1.15,-0.84,0.87,-0.32,0.83,-0.02,
2019/1/30,7183.08,1.92,1.24,0.96,0.10,2.02,0.35,
2019/1/31,7281.74,1.35,1.02,1.12,1.55,2.92,0.53,
2019/2/1,7263.87,0.78,0.10,1.21,1.68,2.47,0.39,
2019/2/4,7347.54,1.20,1.12,1.35,1.40,2.61,0.52,
2019/2/5,7402.08,0.72,0.62,1.49,2.14,2.88,0.56,
2019/2/6,7375.28,0.87,-0.34,1.55,1.61,2.50,0.40,
2019/2/7,7288.35,1.41,-0.38,1.48,-0.07,1.34,0.13,
2019/2/8,7298.2,1.03,0.91,1.41,-0.34,0.69,0.13,
2019/2/11,7307.9,0.73,-0.27,1.35,0.42,1.16,0.13,
2019/2/12,7414.62,0.95,0.76,1.40,0.89,1.84,0.36,
2019/2/13,7420.38,0.65,-0.23,1.42,1.45,2.11,0.31,
2019/2/14,7426.95,1.07,0.50,1.42,0.66,1.73,0.27,
2019/2/15,7472.41,0.50,0.05,1.45,1.20,1.71,0.33,
2019/2/19,7486.77,0.77,0.48,1.47,1.03,1.81,0.31,
2019/2/20,7489.07,0.78,-0.02,1.46,0.84,1.63,0.26,
2019/2/21,7459.71,0.74,-0.21,1.40,0.36,1.10,0.15,
2019/2/22,7527.54,0.65,0.61,1.41,0.73,1.38,0.28,
2019/2/25,7554.46,0.68,-0.41,1.42,1.41,2.10,0.29,
2019/2/26,7549.3,0.65,0.19,1.40,0.81,1.47,0.23,
2019/2/27,7554.51,1.03,0.37,1.38,0.09,1.12,0.20,
2019/2/28,7532.53,0.60,-0.01,1.31,0.38,0.99,0.12,
2019/3/1,7595.35,0.83,0.10,1.31,0.47,1.30,0.24,
2019/3/4,7577.57,1.89,-0.77,1.27,-0.21,1.68,0.16,
2019/3/5,7576.36,0.73,-0.08,1.22,0.21,0.95,0.13,11.0300
2019/3/29,7729.32,0.59,0.03,0.71,0.18,0.77,0.14,
2019/4/1,7828.91,0.70,0.37,0.80,0.99,1.70,0.33,
2019/4/2,7848.69,0.56,0.31,0.88,1.11,1.68,0.32,
2019/4/3,7895.55,0.86,0.06,0.98,1.51,2.38,0.37,
2019/4/4,7891.78,0.93,-0.03,1.03,0.88,1.81,0.30,
2019/4/5,7938.69,0.40,0.31,1.10,1.35,1.75,0.35,
2019/4/8,7953.88,0.81,0.37,1.16,0.81,1.63,0.32,
2019/4/9,7909.28,0.61,-0.20,1.14,0.71,1.32,0.17,
2019/4/10,7964.24,0.61,0.52,1.16,0.69,1.31,0.26,
2019/4/11,7947.36,0.53,-0.35,1.14,0.72,1.25,0.18,
2019/4/12,7984.16,0.50,0.00,1.15,0.74,1.24,0.23,
2019/4/15,7976.01,0.75,-0.14,1.13,0.32,1.08,0.17,
2019/4/16,8000.23,0.49,0.00,1.12,0.70,1.19,0.19,
2019/4/17,7996.08,0.99,-0.61,1.10,0.48,1.47,0.15,
2019/4/18,7998.06,0.65,0.00,1.06,0.06,0.71,0.13,
2019/4/22,8015.27,0.64,0.58,1.04,0.11,0.75,0.15,
2019/4/23,8120.82,1.31,1.17,1.11,0.49,1.80,0.34,
2019/4/24,8102.01,0.47,-0.26,1.13,1.22,1.69,0.24,
2019/4/25,8118.68,0.95,-0.39,1.14,0.65,1.60,0.24,
2019/4/26,8146.4,1.06,0.57,1.16,0.21,1.27,0.26,
2019/4/29,8161.85,0.49,0.17,1.17,0.90,1.40,0.24,5.59600
2019/7/23,8251.4,0.71,0.11,0.84,0.08,0.79,0.16,
2019/7/24,8321.5,1.16,1.14,0.90,0.21,1.37,0.27,
2019/7/25,8238.54,0.76,-0.68,0.85,0.23,0.99,0.06,
2019/7/26,8330.21,0.59,0.43,0.88,0.70,1.29,0.23,
2019/7/29,8293.33,0.94,-0.38,0.86,0.05,0.99,0.12,0.508200
