"Date","Open","High","Low","Close","high - low %","open-close %","EMA diff %","low - fast ema %","high-fast ema %","close below last day","EMA appreciation %"
"11/24/2021","15677.88","15848.56","15591.36","15845.23","1.65%","1.07%","0.91%","-1.63%","-0.01%","",""
"11/26/2021","15664.38","15731.54","15456.09","15491.66","1.78%","-1.10%","0.65%","-2.12%","-0.37%","1","-0.38%"
"11/29/2021","15719.42","15833.11","15644.61","15782.83","1.20%","0.40%","0.59%","-0.91%","0.28%","","-0.01%"
"11/30/2021","15716.50","15828.20","15451.39","15537.69","2.44%","-1.14%","0.41%","-1.88%","0.52%","1","-0.27%"
"12/1/2021","15752.27","15816.82","15243.93","15254.05","3.76%","-3.16%","0.13%","-2.69%","0.97%","1","-0.52%"
"12/2/2021","15181.82","15444.54","15150.12","15381.32","1.94%","1.31%","-0.03%","-2.99%","-1.11%","","-0.30%"
"12/3/2021","15428.71","15470.36","14931.06","15085.47","3.61%","-2.22%","-0.30%","-3.85%","-0.38%","1","-0.57%"
"12/6/2021","15117.63","15281.99","14931.61","15225.15","2.35%","0.71%","-0.43%","-3.53%","-1.27%","","-0.33%"
"12/7/2021","15510.91","15720.09","15507.66","15686.92","1.37%","1.13%","-0.28%","-0.03%","1.33%","","0.22%"
"12/8/2021","15690.65","15792.64","15618.88","15786.99","1.11%","0.61%","-0.12%","0.39%","1.50%","","0.29%"
"12/9/2021","15720.54","15796.05","15511.12","15517.37","1.84%","-1.29%","-0.13%","-0.26%","1.57%","1","-0.04%"
"12/10/2021","15629.59","15677.60","15477.85","15630.60","1.29%","0.01%","-0.08%","-0.56%","0.72%","","0.08%"
"12/13/2021","15621.27","15637.06","15408.25","15413.28","1.48%","-1.33%","-0.15%","-0.85%","0.63%","1","-0.16%"
"12/14/2021","15215.96","15317.55","15097.35","15237.64","1.46%","0.14%","-0.29%","-2.53%","-1.11%","1","-0.32%"
"12/15/2021","15230.71","15575.76","15055.23","15565.58","3.46%","2.20%","-0.23%","-2.88%","0.48%","","0.08%"
"12/16/2021","15629.08","15633.19","15119.49","15180.43","3.40%","-2.87%","-0.37%","-2.13%","1.20%","1","-0.35%"
"12/17/2021","15036.77","15288.78","14960.37","15169.68","2.20%","0.88%","-0.49%","-2.87%","-0.73%","1","-0.30%"
"12/20/2021","14933.00","15007.30","14860.04","14980.94","0.99%","0.32%","-0.67%","-3.08%","-2.12%","1","-0.46%"
"12/21/2021","15140.43","15349.06","15015.03","15341.09","2.22%","1.33%","-0.60%","-2.08%","0.10%","","0.01%"
"12/22/2021","15319.16","15525.97","15303.06","15521.89","1.46%","1.32%","-0.45%","-0.40%","1.05%","","0.20%"
"12/23/2021","15544.79","15697.98","15528.91","15653.37","1.09%","0.70%","-0.26%","0.75%","1.85%","","0.31%"
"12/27/2021","15696.83","15871.40","15696.83","15871.26","1.11%","1.11%","-0.00%","1.34%","2.47%","","0.50%"
"12/28/2021","15895.20","15901.47","15757.07","15781.72","0.92%","-0.71%","0.15%","1.41%","2.34%","1","0.31%"
"12/29/2021","15794.92","15821.81","15679.85","15766.22","0.91%","-0.18%","0.25%","0.67%","1.58%","1","0.24%"
"12/30/2021","15758.98","15868.09","15729.16","15741.56","0.88%","-0.11%","0.31%","0.80%","1.69%","1","0.18%"
"12/31/2021","15722.91","15777.43","15643.94","15644.97","0.85%","-0.50%","0.31%","0.21%","1.07%","1","0.04%"
"1/3/2022","15732.50","15832.80","15644.09","15832.80","1.21%","0.64%","0.39%","-0.02%","1.18%","","0.24%"
"1/4/2022","15852.14","15852.14","15512.41","15622.72","2.19%","-1.45%","0.35%","-0.84%","1.33%","1","-0.03%"
"1/5/2022","15547.16","15586.30","15095.18","15100.17","3.25%","-2.88%","0.04%","-2.94%","0.21%","1","-0.58%"
"1/6/2022","15024.15","15198.45","14914.87","15080.86","1.90%","0.38%","-0.21%","-3.61%","-1.78%","1","-0.51%"
"1/7/2022","15095.72","15171.02","14877.63","14935.90","1.97%","-1.06%","-0.47%","-3.29%","-1.39%","1","-0.58%"
"1/10/2022","14751.78","14953.85","14530.23","14942.83","2.92%","1.30%","-0.66%","-5.10%","-2.33%","","-0.48%"
"1/11/2022","14919.26","15158.71","14837.63","15153.45","2.16%","1.57%","-0.69%","-2.92%","-0.82%","","-0.17%"
"1/12/2022","15263.10","15319.03","15117.29","15188.39","1.33%","-0.49%","-0.68%","-0.99%","0.33%","","-0.10%"
"1/13/2022","15245.04","15259.71","14782.24","14806.81","3.23%","-2.87%","-0.86%","-2.69%","0.45%","1","-0.50%"
"1/14/2022","14708.02","14897.68","14689.43","14893.75","1.42%","1.26%","-0.95%","-2.99%","-1.61%","","-0.33%"
"1/18/2022","14681.83","14740.54","14482.94","14506.90","1.78%","-1.19%","-1.21%","-3.68%","-1.97%","1","-0.70%"
"1/19/2022","14582.22","14658.89","14331.65","14340.26","2.28%","-1.66%","-1.48%","-3.94%","-1.75%","1","-0.77%"
"1/20/2022","14462.85","14642.03","14140.78","14154.02","3.54%","-2.14%","-1.78%","-4.41%","-1.02%","1","-0.86%"
"1/21/2022","14046.22","14171.72","13764.24","13768.92","2.96%","-1.97%","-2.20%","-5.87%","-3.08%","1","-1.15%"
"1/24/2022","13481.50","13876.61","13094.65","13855.13","5.97%","2.77%","-2.45%","-9.66%","-4.26%","","-0.87%"
"1/25/2022","13610.87","13781.62","13414.14","13539.29","2.74%","-0.53%","-2.79%","-6.42%","-3.86%","1","-1.10%"
"1/26/2022","13871.77","14002.65","13392.19","13542.12","4.56%","-2.38%","-3.02%","-5.71%","-1.41%","","-0.92%"
"1/27/2022","13710.99","13765.91","13322.66","13352.78","3.33%","-2.61%","-3.26%","-5.25%","-2.10%","1","-1.00%"
"1/28/2022","13436.71","13771.91","13236.56","13770.57","4.04%","2.48%","-3.16%","-5.54%","-1.72%","","-0.34%"
"1/31/2022","13812.19","14242.90","13767.71","14239.88","3.45%","3.10%","-2.75%","-2.01%","1.37%","","0.27%"
"2/1/2022","14277.43","14358.69","14070.77","14346.00","2.05%","0.48%","-2.33%","-0.21%","1.84%","","0.35%"
"2/2/2022","14494.47","14504.82","14264.65","14417.55","1.68%","-0.53%","-1.94%","0.79%","2.49%","","0.38%"
"2/3/2022","14045.83","14207.89","13851.74","13878.82","2.57%","-1.19%","-1.93%","-1.81%","0.71%","1","-0.32%"
"2/4/2022","13958.48","14222.76","13850.39","14098.01","2.69%","1.00%","-1.77%","-1.81%","0.83%","","-0.01%"
"2/7/2022","14118.79","14236.31","13974.10","14015.67","1.88%","-0.73%","-1.67%","-0.83%","1.03%","1","-0.11%"
