"Date","Open","High","Low","Close","high - low %","open-close %","EMA diff %","low - fast ema %","high-fast ema %","close below last day","EMA appreciation %"
"11/24/2020","11939.33","12049.88","11863.45","12036.79","1.57%","0.82%","1.08%","0.26%","1.83%","",""
"11/25/2020","12053.89","12114.77","12020.95","12094.4","0.78%","0.34%","1.16%","1.22%","2.01%","","0.37%"
"11/27/2020","12159.18","12236.23","12154.57","12205.85","0.67%","0.38%","1.27%","1.87%","2.55%","","0.46%"
"11/30/2020","12224.25","12244.65","12027.16","12198.74","1.81%","-0.21%","1.33%","0.43%","2.24%","1","0.37%"
"12/1/2020","12313.36","12405.79","12263.93","12355.11","1.16%","0.34%","1.46%","1.87%","3.05%","","0.53%"
"12/2/2020","12285.75","12360.06","12217.35","12349.37","1.17%","0.52%","1.53%","1.05%","2.23%","1","0.43%"
"12/3/2020","12369.26","12439.02","12356.99","12377.18","0.66%","0.06%","1.58%","1.80%","2.48%","","0.39%"
"12/4/2020","12399.32","12464.23","12376.44","12464.23","0.71%","0.52%","1.65%","1.51%","2.23%","","0.45%"
"12/7/2020","12461","12536.23","12460.55","12519.95","0.61%","0.47%","1.72%","1.74%","2.36%","","0.45%"
"12/8/2020","12503.17","12594.54","12453.21","12582.77","1.13%","0.64%","1.78%","1.22%","2.37%","","0.46%"
"12/9/2020","12591.69","12607.14","12290.78","12338.95","2.57%","-2.01%","1.64%","-0.15%","2.42%","1","0.05%"
"12/10/2020","12247.55","12431.56","12214.74","12405.81","1.78%","1.29%","1.56%","-0.90%","0.86%","","0.13%"
"12/11/2020","12336.79","12383.5","12246.77","12377.87","1.12%","0.33%","1.46%","-0.71%","0.40%","1","0.07%"
"12/14/2020","12447.44","12543","12432.71","12440.04","0.89%","-0.06%","1.40%","0.66%","1.55%","","0.14%"
"12/15/2020","12543.26","12596.13","12465.42","12595.06","1.05%","0.41%","1.43%","0.59%","1.64%","","0.33%"
"12/16/2020","12611.04","12687.32","12566.38","12658.19","0.96%","0.37%","1.47%","1.04%","2.02%","","0.36%"
"12/17/2020","12730.78","12765.25","12696.35","12764.75","0.54%","0.27%","1.55%","1.64%","2.19%","","0.44%"
"12/18/2020","12804.93","12809.6","12654.6","12755.64","1.22%","-0.38%","1.57%","0.95%","2.19%","1","0.35%"
"12/21/2020","12596.14","12751.27","12525.22","12742.52","1.80%","1.16%","1.57%","-0.36%","1.44%","1","0.28%"
"12/22/2020","12785.22","12840.57","12695.31","12807.92","1.14%","0.18%","1.58%","0.68%","1.83%","","0.32%"
"12/23/2020","12834.94","12841.92","12758.67","12771.11","0.65%","-0.50%","1.54%","0.97%","1.63%","1","0.21%"
"12/24/2020","12791.54","12833.55","12767.64","12804.73","0.52%","0.10%","1.51%","0.81%","1.33%","","0.22%"
"12/28/2020","12914.64","12930.89","12827.45","12899.42","0.81%","-0.12%","1.52%","0.97%","1.79%","","0.31%"
"12/29/2020","12965.39","12973.33","12821.96","12850.22","1.18%","-0.89%","1.48%","0.74%","1.93%","1","0.19%"
"12/30/2020","12906.51","12924.93","12857.76","12870","0.52%","-0.28%","1.43%","0.83%","1.36%","","0.19%"
